,hasu,asu,subbris,subns,subsg,complexbris,complexns,complexsg,simplebris,simplens,simplesg,homeesd,home,repat,mimics,death,serv_dist,serv_dist_param,ext_queue,int_queue,hasu,asu,subbris,subns,subsg,complexbris,complexns,complexsg,simplebris,simplens,simplesg,homeesd,home,repat,mimics,death,hasu,asu,subbris,subns,subsg,complexbris,complexns,complexsg,simplebris,simplens,simplesg,homeesd,home,repat,mimics,death
hasu,0,0.42,0,0,0,0,0,0,0,0,0,0.075,0.15,0.03,0.25,0.075,exp,0.303030303,Inf,0,,,,,,exp,exp,exp,exp,exp,exp,exp,exp,exp,,,,,,,,0.5,0.5,0.5,0.666666667,0.666666667,0.666666667,0.666666667,2,0.5,,
asu,0,0,0.245,0.145,0.185,0,0,0,0,0,0,0.27,0.09,0.02,0,0.045,exp,0.12987013,0,0,,,,,,exp,exp,exp,exp,exp,exp,exp,exp,exp,,,,,,,,0.5,0.5,0.5,0.666666667,0.666666667,0.666666667,0.666666667,2,0.5,,
subbris,0,0,0,0,0,0.71,0,0,0.29,0,0,0,0,0,0,0,exp,0.041666667,0,0,,,,,,exp,exp,exp,exp,exp,exp,exp,exp,exp,,,,,,,,0.5,0.5,0.5,0.666666667,0.666666667,0.666666667,0.666666667,2,0.5,,
subns,0,0,0,0,0,0,0.71,0,0,0.29,0,0,0,0,0,0,exp,0.041666667,0,0,,,,,,exp,exp,exp,exp,exp,exp,exp,exp,exp,,,,,,,,0.5,0.5,0.5,0.666666667,0.666666667,0.666666667,0.666666667,2,0.5,,
subsg,0,0,0,0,0,0,0,0.71,0,0,0.29,0,0,0,0,0,exp,0.041666667,0,0,,,,,,exp,exp,exp,exp,exp,exp,exp,exp,exp,,,,,,,,0.5,0.5,0.5,0.666666667,0.666666667,0.666666667,0.666666667,2,0.5,,
complexbris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complexns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complexsg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simplebris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simplens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simplesg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homeesd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
repat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mimics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
